=============training from sratch============
Program ID: 4410

Program command: 
 ['TrainResNeXtVNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet', '1', '/home/hxie1/data/OvarianCancerCT/pixelSize223withLabel/numpy', '/home/hxie1/data/OvarianCancerCT/pixelSize223withLabel/numpyLabel', '0', '3,2,1']

Major program changes: 
     1  a V model with ResNeXt block: use z convolution, and then xy convolution, to implement 3D convolution.
     2  at ground truth, only check the segmented slices, about 3 slices per patient;
     3  the input is whole 3D volume, intead of ROI;
     4  support input data augmentation: affine in xy plane, and translation in z direction;
     5  input Size: 231*251*251 with label;
    

Discarded changes:                  

Experiment setting:
Input CT data: maximum size 231*251*251 (zyx) of 3D numpy array with spacing size(3*2*2)

Loss Function:  BCELogitLoss

Data:   total 143 patients with weak annotaton label, 5-fold cross validation, test 29, validation 29, and training 85.  

Training strategy: 

          

Program starting Time: 2019-08-31 16:53:39.752543
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet/20190831_165339

Info: this is the 0th fold leave for test in the 5-fold cross-validation.

Info: batchSize = 12

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtVNet/20190831_165339.
5-fold cross validation: the 0th fold is for test, the 1th fold is for validation, remaining folds are for training.

training dataset: total 85 image files.

validation dataset: total 29 image files.

test dataset: total 29 image files.
Network has total 26,372,379 parameters.


************** Table of Train Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
450	1.0000e-04		227025.2114	0.10544		276571.0156	0.05601		407091.4271	0.04603
455	1.0000e-04		212055.0042	0.10100		278088.7760	0.04686		412910.3672	0.04417
460	1.0000e-04		230604.1116	0.10948		275025.6719	0.05325		403403.3177	0.04993
465	1.0000e-04		223854.4303	0.09280		281098.6719	0.05400		405056.2943	0.04993
470	1.0000e-04		220386.4478	0.11665		271976.0052	0.05874		397390.9766	0.05153
475	1.0000e-04		214313.4893	0.11939		266145.6042	0.08047		390649.1693	0.06787
480	1.0000e-04		223835.4878	0.10471		275194.4635	0.05912		403269.9844	0.05256
485	1.0000e-04		218902.6635	0.10307		271240.2344	0.08292		390954.0755	0.06952
490	1.0000e-04		228576.1086	0.10510		272666.5521	0.07151		394565.5078	0.06311
495	1.0000e-04		218511.2344	0.11553		270256.8542	0.06735		392138.6380	0.05874
500	1.0000e-04		239614.2246	0.09475		273461.6198	0.05721		405256.5156	0.04821
505	1.0000e-04		199412.5564	0.10858		282120.8958	0.04358		410712.1354	0.04274
510	1.0000e-04		220196.1968	0.10146		274903.5938	0.06030		403615.0417	0.05231
515	1.0000e-04		236110.2273	0.09918		273627.4688	0.07145		395875.1641	0.06308
520	1.0000e-04		229459.4999	0.11093		275809.6875	0.07956		395716.4010	0.06823
525	1.0000e-04		222789.3591	0.10456		273380.4896	0.08754		393762.4479	0.07386
530	1.0000e-04		207099.0186	0.12117		271094.8021	0.08165		394928.6745	0.06618
535	1.0000e-04		224334.7236	0.11499		278454.0573	0.06926		403233.5078	0.05927
540	1.0000e-04		220125.4300	0.11892		269407.9271	0.08515		395652.4193	0.07032
545	1.0000e-04		222103.8273	0.09925		272587.8750	0.07043		395123.0964	0.05737
550	1.0000e-04		217803.1211	0.11855		274739.6562	0.08221		395700.0000	0.07161
555	1.0000e-04		222590.0239	0.09192		283047.1042	0.04517		411721.6250	0.04732
560	1.0000e-04		231513.4346	0.11054		271316.1302	0.07471		394676.1927	0.06443
565	1.0000e-04		224109.5830	0.11965		286151.5312	0.05617		414035.9844	0.05113
570	1.0000e-04		222776.0183	0.11433		275164.5521	0.06616		405838.4792	0.06152
575	1.0000e-04		230973.6084	0.11344		276724.4219	0.04929		406467.3203	0.05029
580	1.0000e-04		226466.3486	0.10833		273533.7135	0.07446		401951.3177	0.06312
585	1.0000e-04		212234.5844	0.10670		271967.7708	0.07207		398185.6484	0.06077
590	1.0000e-04		233698.1873	0.10826		274148.4740	0.09443		392063.8958	0.08214
595	1.0000e-04		231120.6494	0.11061		280787.6250	0.04516		407815.6953	0.04226
600	1.0000e-04		226312.2437	0.11164		277190.3750	0.08370		394778.9661	0.07480
605	1.0000e-04		223193.1162	0.11257		277874.7812	0.06149		398098.4505	0.05619
610	1.0000e-04		214648.4971	0.11185		268162.5260	0.05553		391693.5651	0.05451
615	1.0000e-04		227567.4312	0.10273		275153.0365	0.08023		399077.7031	0.07128
620	1.0000e-04		225814.3178	0.10029		282173.9323	0.05802		405408.6849	0.05392
625	1.0000e-04		222194.8899	0.12584		278394.5677	0.04492		408210.6198	0.04419
630	1.0000e-04		232792.0911	0.10316		275427.9115	0.07542		396306.9844	0.06573
635	1.0000e-04		213725.6118	0.12533		274982.7188	0.04714		408589.2474	0.04461
640	1.0000e-04		209627.1106	0.10161		271604.9271	0.08100		394053.7969	0.07104
645	1.0000e-04		212947.1836	0.11141		274103.3229	0.05943		405378.2526	0.05450
650	1.0000e-04		196469.6531	0.12621		280538.6458	0.06172		408611.4974	0.05464
655	1.0000e-04		227584.3901	0.11262		267135.4688	0.08582		383731.5807	0.07304
